Study_Model,System,Method,Long_Range_Treatment,Energy_Error,Force_Error,MD_Protocol,Reported_Rollout_Result,Reported_Physical_Result,Comparison_Class,My_Matched_Result,Primary_Source
"Fu et al. (2023) — GemNet-T, Water-10k","64 flexible-SPC/E water molecules; 9,500 train + 500 validation structures",GemNet-T,Local graph model; no explicit long-range electrostatic solver,NR in Water-10k table,0.7 meV/Å MAE,5 independent NVT rollouts; 300 K; Nosé–Hoover; 1 fs; maximum 500 ps,Mean stability 25 ± 7 ps,RDF MAE: O–O 0.22 ± 0.05; H–H 0.16 ± 0.03; H–O 0.20 ± 0.04; diffusivity not reported because rollouts were unstable,Direct rollout benchmark if protocol is matched,,https://arxiv.org/abs/2210.07237
"Fu et al. (2023) — NequIP, Water-10k","64 flexible-SPC/E water molecules; 9,500 train + 500 validation structures",NequIP,Local equivariant model; no explicit long-range electrostatic solver,NR in Water-10k table,1.5 meV/Å MAE,5 independent NVT rollouts; 300 K; Nosé–Hoover; 1 fs; maximum 500 ps,Mean stability 500 ± 0 ps; all 5 reached the 500 ps cap,RDF MAE: O–O 0.06 ± 0.02; H–H 0.05 ± 0.01; H–O 0.27 ± 0.07; diffusivity MAE 0.18 × 10^-9 m²/s relative to 2.3 × 10^-9 m²/s,Direct rollout benchmark if protocol is matched,,https://arxiv.org/abs/2210.07237
Raja et al. (2025) — baseline GemNet-T,"64 flexible-SPC/E water molecules; 1,000 pretraining structures",GemNet-T baseline,No explicit long-range electrostatic solver,NR for the reported water rollout comparison,NR for the reported water rollout comparison,5 independent NVT rollouts; 300 K; Nosé–Hoover; 1 fs; maximum 1 ns,Median stability 312 ps; 1 of 5 reached 1 ns,Mean self-diffusion coefficient 5.0 × 10^-9 m²/s; reference 2.3 × 10^-9 m²/s,Direct baseline rollout benchmark,,https://arxiv.org/abs/2402.13984
Raja et al. (2025) — StABlE GemNet-T,"64 flexible-SPC/E water molecules; 1,000 pretraining structures plus trajectory fine-tuning",GemNet-T with StABlE,No explicit long-range solver; differentiable trajectory fine-tuning against mean O–H bond length,NR for the reported water rollout comparison,NR for the reported water rollout comparison,5 independent NVT rollouts; 300 K; Nosé–Hoover; 1 fs; maximum 1 ns,5 of 5 rollouts reached 1 ns,Mean self-diffusion coefficient 2.4 × 10^-9 m²/s; reference 2.3 × 10^-9 m²/s,Improvement target; method differs from current training,,https://arxiv.org/abs/2402.13984
Stocker et al. (2022) — sparse GemNet,"20 representative QM7-x molecules; model trained on 3,200 configurations",GemNet graph neural network potential,Local cutoff model; no explicit long-range term,Test atomization-energy MAE ≈ 0.05 eV,Test force MAE ≈ 0.035 eV/Å,"For each molecule: 1 ns at 300, 600, and 1200 K; 0.5 fs; 72 frames rescored by DFT","At 300 K, trajectory atomization-energy MAE exceeded 10 eV; one 600 K trajectory dissociated at ≈700 ps",Demonstrates that low static error can coexist with large self-rollout error,Mechanistic/contextual; different molecular system,,https://doi.org/10.1088/2632-2153/ac9955
Zhang et al. (2024) — ACE water model,27-water training clusters; 216-water periodic validation box,Atomic Cluster Expansion with active learning,Local ACE; no explicit long-range electrostatic solver,<1 kcal/mol MAD,<2 kcal/mol/Å MAD,0.5 fs; 50 ps NVE validation; 20 ps NVT RDF at 300 K in an 18.65 Å cubic box,Completed the reported 50 ps NVE validation,O–O RDF reproduced experiment; descriptor selectors used 40 and 52 structures versus 281 for the energy selector,Partial: physical-water target with shorter rollout,,https://doi.org/10.1038/s41467-024-50418-6
Cheng et al. (2019) — revPBE0-D3 NN,"1,593 reference configurations of 64 waters; liquid water plus ice Ih/Ic",Behler–Parrinello neural-network potential used as a revPBE0-D3 surrogate,Local NN surrogate; free-energy results promoted to DFT with perturbation corrections,NR in the main article,NR in the main article,NVT/PIMD water RDF at 300 K; NPT and free-energy simulations; systems up to 768 waters,No time-to-failure benchmark reported,Densities within 3% of experiment; temperature of maximum density matched 3.98 °C; DFT-H₂O melting point 267 ± 2 K versus 273.15 K experiment,Physical-property target; rollout stability not comparable,,https://doi.org/10.1073/pnas.1815117116
Gao and Remsing (2022) — SCFNN,"1,000 waters in a 31.2 Å periodic cube",Self-consistent field neural network,Explicit learned long-range electric-field response coupled self-consistently to short-range networks,NR in the main article,NR in the main article,100 independent 50 ps NVT trajectories; 300 K; Berendsen thermostat; 0.5 fs; additional finite-field and interface runs,No NVE-heating or time-to-failure benchmark reported,"SCFNN and short-range BP gave the same RDFs, but only SCFNN recovered long-wavelength polarization behavior; static dielectric constant ≈100 and high-frequency dielectric constant ≈1.65",Long-range diagnostic; compare polarization/dielectric response rather than heating,,https://doi.org/10.1038/s41467-022-29243-2
Cheng (2025) — CACE with Latent Ewald,"Bulk water trained on 1,593 configurations of 64 waters; MD with 512 or 2,048 waters; water–vapor interface",CACE short-range versus CACE-LR,Latent-variable reciprocal-space Ewald term; 5.5 Å local cutoff; learned 4-D latent charges,Interface energy MAE <0.1 meV/atom with 50 training configurations,Interface force MAE ≈14–27 meV/Å at 90% training fraction,"Bulk RDF: 512 waters, 300 K, 1 g/mL, NVT, 1 fs, 300 ps; polarization: 2,048 waters, 200 ps",Bulk RDFs were indistinguishable across short- and long-range models; one T=1 short-range interface run became unstable after ≈280 ps,Short-range dipole correlations diverged at ≈11 Å (T=0) and ≈16 Å (T=1); long-range models removed the divergence; LR models ran at roughly half SR speed,Long-range ablation target; use dielectric and interface observables,,https://doi.org/10.1038/s41524-025-01577-7
This work — TensorNet (fill by seed),64-water periodic box; every trained seed,TensorNet neural-network potential,No explicit long-range electrostatic solver,,,"Record ensemble, temperature, timestep, thermostat, rollout length, and number of geometry/velocity replicates","Record median time-to-failure, completion fraction, temperature rise, potential-to-kinetic conversion, and total-energy drift","Record O–O/O–H/H–H RDF error, diffusion coefficient, density if NPT, and any dielectric observable if added",Primary result,Enter one aggregate row plus a seed-level appendix,Project outputs
